customer_id,customer_name,tier
CUST-0001,Customer_1,gold
CUST-0002,Customer_2,platinum
CUST-0003,Customer_3,bronze
CUST-0004,Customer_4,silver
CUST-0005,Customer_5,silver
CUST-0006,Customer_6,platinum
CUST-0007,Customer_7,gold
CUST-0008,Customer_8,bronze
CUST-0009,Customer_9,gold
CUST-0010,Customer_10,gold
CUST-0011,Customer_11,bronze
CUST-0012,Customer_12,platinum
CUST-0013,Customer_13,bronze
CUST-0014,Customer_14,platinum
CUST-0015,Customer_15,bronze
CUST-0016,Customer_16,platinum
CUST-0017,Customer_17,bronze
CUST-0018,Customer_18,gold
CUST-0019,Customer_19,platinum
CUST-0020,Customer_20,silver
CUST-0021,Customer_21,bronze
CUST-0022,Customer_22,silver
CUST-0023,Customer_23,gold
CUST-0024,Customer_24,platinum
CUST-0025,Customer_25,platinum
CUST-0026,Customer_26,bronze
CUST-0027,Customer_27,silver
CUST-0028,Customer_28,platinum
CUST-0029,Customer_29,bronze
CUST-0030,Customer_30,silver
CUST-0031,Customer_31,silver
CUST-0032,Customer_32,gold
CUST-0033,Customer_33,gold
CUST-0034,Customer_34,bronze
CUST-0035,Customer_35,platinum
CUST-0036,Customer_36,gold
CUST-0037,Customer_37,platinum
CUST-0038,Customer_38,platinum
CUST-0039,Customer_39,silver
CUST-0040,Customer_40,bronze
CUST-0041,Customer_41,gold
CUST-0042,Customer_42,platinum
CUST-0043,Customer_43,bronze
CUST-0044,Customer_44,silver
CUST-0045,Customer_45,gold
CUST-0046,Customer_46,platinum
CUST-0047,Customer_47,silver
CUST-0048,Customer_48,platinum
CUST-0049,Customer_49,bronze
CUST-0050,Customer_50,platinum
CUST-0051,Customer_51,platinum
CUST-0052,Customer_52,gold
CUST-0053,Customer_53,silver
CUST-0054,Customer_54,silver
CUST-0055,Customer_55,silver
CUST-0056,Customer_56,gold
CUST-0057,Customer_57,bronze
CUST-0058,Customer_58,gold
CUST-0059,Customer_59,bronze
CUST-0060,Customer_60,bronze
CUST-0061,Customer_61,platinum
CUST-0062,Customer_62,bronze
CUST-0063,Customer_63,silver
CUST-0064,Customer_64,platinum
CUST-0065,Customer_65,silver
CUST-0066,Customer_66,silver
CUST-0067,Customer_67,platinum
CUST-0068,Customer_68,silver
CUST-0069,Customer_69,gold
CUST-0070,Customer_70,silver
CUST-0071,Customer_71,platinum
CUST-0072,Customer_72,gold
CUST-0073,Customer_73,silver
CUST-0074,Customer_74,gold
CUST-0075,Customer_75,bronze
CUST-0076,Customer_76,silver
CUST-0077,Customer_77,silver
CUST-0078,Customer_78,gold
CUST-0079,Customer_79,bronze
CUST-0080,Customer_80,bronze
CUST-0081,Customer_81,platinum
CUST-0082,Customer_82,silver
CUST-0083,Customer_83,gold
CUST-0084,Customer_84,platinum
CUST-0085,Customer_85,bronze
CUST-0086,Customer_86,bronze
CUST-0087,Customer_87,gold
CUST-0088,Customer_88,silver
CUST-0089,Customer_89,platinum
CUST-0090,Customer_90,platinum
CUST-0091,Customer_91,silver
CUST-0092,Customer_92,platinum
CUST-0093,Customer_93,platinum
CUST-0094,Customer_94,silver
CUST-0095,Customer_95,platinum
CUST-0096,Customer_96,silver
CUST-0097,Customer_97,gold
CUST-0098,Customer_98,bronze
CUST-0099,Customer_99,bronze
CUST-0100,Customer_100,gold
CUST-0101,Customer_101,platinum
CUST-0102,Customer_102,gold
CUST-0103,Customer_103,platinum
CUST-0104,Customer_104,gold
CUST-0105,Customer_105,platinum
CUST-0106,Customer_106,platinum
CUST-0107,Customer_107,platinum
CUST-0108,Customer_108,bronze
CUST-0109,Customer_109,silver
CUST-0110,Customer_110,bronze
CUST-0111,Customer_111,silver
CUST-0112,Customer_112,platinum
CUST-0113,Customer_113,bronze
CUST-0114,Customer_114,silver
CUST-0115,Customer_115,bronze
CUST-0116,Customer_116,bronze
CUST-0117,Customer_117,gold
CUST-0118,Customer_118,gold
CUST-0119,Customer_119,gold
CUST-0120,Customer_120,gold
CUST-0121,Customer_121,silver
CUST-0122,Customer_122,bronze
CUST-0123,Customer_123,bronze
CUST-0124,Customer_124,silver
CUST-0125,Customer_125,platinum
CUST-0126,Customer_126,bronze
CUST-0127,Customer_127,gold
CUST-0128,Customer_128,platinum
CUST-0129,Customer_129,bronze
CUST-0130,Customer_130,bronze
CUST-0131,Customer_131,bronze
CUST-0132,Customer_132,bronze
CUST-0133,Customer_133,gold
CUST-0134,Customer_134,bronze
CUST-0135,Customer_135,platinum
CUST-0136,Customer_136,silver
CUST-0137,Customer_137,bronze
CUST-0138,Customer_138,gold
CUST-0139,Customer_139,silver
CUST-0140,Customer_140,silver
CUST-0141,Customer_141,platinum
CUST-0142,Customer_142,gold
CUST-0143,Customer_143,silver
CUST-0144,Customer_144,silver
CUST-0145,Customer_145,platinum
CUST-0146,Customer_146,platinum
CUST-0147,Customer_147,gold
CUST-0148,Customer_148,gold
CUST-0149,Customer_149,platinum
CUST-0150,Customer_150,gold
CUST-0151,Customer_151,platinum
CUST-0152,Customer_152,silver
CUST-0153,Customer_153,platinum
CUST-0154,Customer_154,silver
CUST-0155,Customer_155,silver
CUST-0156,Customer_156,bronze
CUST-0157,Customer_157,gold
CUST-0158,Customer_158,bronze
CUST-0159,Customer_159,bronze
CUST-0160,Customer_160,platinum
CUST-0161,Customer_161,platinum
CUST-0162,Customer_162,bronze
CUST-0163,Customer_163,silver
CUST-0164,Customer_164,silver
CUST-0165,Customer_165,silver
CUST-0166,Customer_166,platinum
CUST-0167,Customer_167,silver
CUST-0168,Customer_168,gold
